Path specified: /test/u0/
Net 		Stat_Prob	TC	TotSimPeriod
n91 	 0.046 		 46 	 5000  
n92 	 0.46 		 253 	 5000  
n93 	 0.508 		 233 	 5000  
n94 	 0.477 		 235 	 5000  
n95 	 0.481 		 196 	 5000  
n96 	 0.43 		 48 	 5000  
n97 	 0.52 		 196 	 5000  
n98 	 0.466 		 199 	 5000  
n99 	 0.065 		 57 	 5000  
n100 	 0.038 		 38 	 5000  
n101 	 0.072 		 68 	 5000  
n102 	 0.06 		 58 	 5000  
n103 	 0.05 		 43 	 5000  
n104 	 0.06 		 58 	 5000  
n105 	 0.052 		 52 	 5000  
n106 	 0.829 		 104 	 5000  
n107 	 0.054 		 50 	 5000  
n108 	 0.064 		 58 	 5000  
n109 	 0.05 		 46 	 5000  
n110 	 0.064 		 64 	 5000  
n111 	 0.064 		 58 	 5000  
n112 	 0.489 		 241 	 5000  
n113 	 0.076 		 66 	 5000  
n114 	 0.05 		 44 	 5000  
n115 	 0.06 		 60 	 5000  
n116 	 0.068 		 60 	 5000  
n117 	 0.496 		 224 	 5000  
n118 	 0.462 		 218 	 5000  
n119 	 0.06 		 52 	 5000  
n120 	 0.064 		 58 	 5000  
n121 	 0.072 		 68 	 5000  
n122 	 0.048 		 46 	 5000  
n123 	 0.058 		 52 	 5000  
n124 	 0.06 		 56 	 5000  
n125 	 0.05 		 48 	 5000  
n126 	 0.058 		 56 	 5000  
n127 	 0.477 		 224 	 5000  
n128 	 0.07 		 66 	 5000  
n129 	 0.078 		 74 	 5000  
n130 	 0.057 		 55 	 5000  
n131 	 0.06 		 56 	 5000  
n132 	 0.054 		 52 	 5000  
n133 	 0.05 		 50 	 5000  
n134 	 0.046 		 44 	 5000  
n135 	 0.062 		 59 	 5000  
n136 	 0.456 		 249 	 5000  
n137 	 0.454 		 36 	 5000  
n138 	 0.493 		 32 	 5000  
n139 	 0.476 		 201 	 5000  
n140 	 0.496 		 203 	 5000  
n141 	 0.082 		 72 	 5000  
n143 	 0.457 		 7 	 5000  
n144 	 0.048 		 43 	 5000  
n145 	 0.06 		 60 	 5000  
n146 	 0.008 		 8 	 5000  
n147 	 0.058 		 52 	 5000  
n148 	 0.046 		 42 	 5000  
n149 	 0.066 		 60 	 5000  
n150 	 0.042 		 42 	 5000  
n151 	 0.063 		 57 	 5000  
n152 	 0.052 		 50 	 5000  
n153 	 0.006 		 6 	 5000  
n154 	 0.062 		 60 	 5000  
n155 	 0.078 		 76 	 5000  
n156 	 0.062 		 60 	 5000  
n157 	 0.054 		 50 	 5000  
n158 	 0.072 		 66 	 5000  
n159 	 0.046 		 40 	 5000  
n160 	 0.056 		 52 	 5000  
n161 	 0.465 		 232 	 5000  
n162 	 0.44 		 243 	 5000  
n163 	 0.074 		 64 	 5000  
n164 	 0.814 		 119 	 5000  
n165 	 0.038 		 34 	 5000  
n166 	 0.058 		 54 	 5000  
n167 	 0.052 		 48 	 5000  
n168 	 0.857 		 82 	 5000  
n169 	 0.074 		 67 	 5000  
n170 	 0.058 		 48 	 5000  
n171 	 0.088 		 82 	 5000  
n172 	 0.059 		 57 	 5000  
n173 	 0.078 		 76 	 5000  
n174 	 0.048 		 44 	 5000  
n175 	 0.042 		 40 	 5000  
n176 	 0.038 		 36 	 5000  
n177 	 0.462 		 230 	 5000  
n178 	 0.062 		 54 	 5000  
n179 	 0.046 		 46 	 5000  
n180 	 0.058 		 58 	 5000  
n181 	 0.074 		 72 	 5000  
n182 	 0.519 		 230 	 5000  
n183 	 0.468 		 245 	 5000  
n184 	 0.489 		 236 	 5000  
n185 	 0.501 		 179 	 5000  
n191 	 0.076 		 72 	 5000  
n192 	 0.07 		 66 	 5000  
n193 	 0.058 		 56 	 5000  
n194 	 0.032 		 32 	 5000  
n195 	 0.02 		 20 	 5000  
n196 	 0.078 		 70 	 5000  
n197 	 0.062 		 61 	 5000  
n198 	 0.797 		 127 	 5000  
n199 	 0.056 		 54 	 5000  
n200 	 0.845 		 96 	 5000  
n201 	 0.062 		 58 	 5000  
n202 	 0.058 		 52 	 5000  
n203 	 0.052 		 50 	 5000  
n204 	 0.066 		 60 	 5000  
n205 	 0.05 		 46 	 5000  
n206 	 0.463 		 241 	 5000  
n207 	 0.047 		 47 	 5000  
n208 	 0.088 		 80 	 5000  
n209 	 0.04 		 38 	 5000  
n210 	 0.052 		 48 	 5000  
n211 	 0.453 		 235 	 5000  
n212 	 0.483 		 255 	 5000  
n213 	 0.07 		 66 	 5000  
n214 	 0.074 		 72 	 5000  
n215 	 0.058 		 49 	 5000  
n216 	 0.841 		 89 	 5000  
n217 	 0.042 		 42 	 5000  
n218 	 0.063 		 57 	 5000  
n219 	 0.048 		 46 	 5000  
n220 	 0.062 		 58 	 5000  
n221 	 0.058 		 52 	 5000  
n222 	 0.038 		 34 	 5000  
n223 	 0.847 		 82 	 5000  
n224 	 0.048 		 42 	 5000  
n225 	 0.064 		 60 	 5000  
n226 	 0.064 		 58 	 5000  
n227 	 0.827 		 104 	 5000  
n228 	 0.056 		 52 	 5000  
n229 	 0.068 		 60 	 5000  
n230 	 0.062 		 54 	 5000  
n231 	 0.072 		 62 	 5000  
n232 	 0.458 		 229 	 5000  
n233 	 0.452 		 224 	 5000  
n234 	 0.002 		 2 	 5000  
n235 	 0.05 		 50 	 5000  
n236 	 0.056 		 48 	 5000  
n237 	 0.051 		 49 	 5000  
n238 	 0.072 		 70 	 5000  
n239 	 0.074 		 66 	 5000  
n240 	 0.817 		 114 	 5000  
n241 	 0.06 		 52 	 5000  
n242 	 0.052 		 48 	 5000  
